Country,Code,Year,Deforestation
Africa,,2015,4414000
Algeria,DZA,2015,5400
Argentina,ARG,2015,134800
Aruba,ABW,2015,0
Asia,,2015,2235000
Austria,AUT,2015,5810
Azerbaijan,AZE,2015,86360
Bahrain,BHR,2015,0
Bangladesh,BGD,2015,0
Belarus,BLR,2015,3500
Belgium,BEL,2015,1500
Belize,BLZ,2015,11160
Bhutan,BTN,2015,430
Bolivia,BOL,2015,242540
Brazil,BRA,2015,1695700
Bulgaria,BGR,2015,0
Burundi,BDI,2015,0
Cameroon,CMR,2015,58000
Canada,CAN,2015,37520
Cape Verde,CPV,2015,820
Cayman Islands,CYM,2015,0
Central African Republic,CAF,2015,30000
Chile,CHL,2015,9400
China,CHN,2015,133200
Colombia,COL,2015,199230
Congo,COG,2015,13800
Costa Rica,CRI,2015,0
Croatia,HRV,2015,50
Cuba,CUB,2015,0
Denmark,DNK,2015,620
Djibouti,DJI,2015,160
Ecuador,ECU,2015,87220
El Salvador,SLV,2015,4500
Equatorial Guinea,GNQ,2015,8360
Estonia,EST,2015,5010
Ethiopia,ETH,2015,92000
Europe,,2015,69000
Falkland Islands,FLK,2015,0
Faroe Islands,FRO,2015,0
French Guyana,,2015,5780
Gabon,GAB,2015,19250
Georgia,GEO,2015,0
Germany,DEU,2015,7000
Gibraltar,GIB,2015,0
Greenland,GRL,2015,0
Guadeloupe,GLP,2015,250
Guatemala,GTM,2015,11600
Guyana,GUY,2015,9200
Honduras,HND,2015,23190
Hungary,HUN,2015,3140
Iceland,ISL,2015,0
India,IND,2015,668400
Indonesia,IDN,2015,650000
Iraq,IRQ,2015,0
Ireland,IRL,2015,620
Isle of Man,IMN,2015,0
Jamaica,JAM,2015,540
Kuwait,KWT,2015,0
Kyrgyzstan,KGZ,2015,0
Latvia,LVA,2015,360
Liberia,LBR,2015,30260
Liechtenstein,LIE,2015,210
Lithuania,LTU,2015,140
Malawi,MWI,2015,42000
Maldives,MDV,2015,0
Mali,MLI,2015,0
Martinique,MTQ,2015,160
Mauritania,MRT,2015,45380
Mauritius,MUS,2015,120
Mayotte,MYT,2015,60
Mexico,MEX,2015,165820
Moldova,MDA,2015,340
Monaco,MCO,2015,0
Mongolia,MNG,2015,1520
Montenegro,MNE,2015,12000
Morocco,MAR,2015,0
Mozambique,MOZ,2015,267030
Myanmar,MMR,2015,293920
Nauru,NRU,2015,0
Nepal,NPL,2015,0
Netherlands,NLD,2015,2190
New Zealand,NZL,2015,6580
Nicaragua,NIC,2015,105030
Niger,NER,2015,14920
Nigeria,NGA,2015,163310
North Korea,PRK,2015,23190
Norway,NOR,2015,5820
Oceania,,2015,42000
Panama,PAN,2015,12490
Papua New Guinea,PNG,2015,33530
Paraguay,PRY,2015,279340
Peru,PER,2015,179090
Poland,POL,2015,770
Qatar,QAT,2015,0
Romania,ROU,2015,20
Russia,RUS,2015,0
San Marino,SMR,2015,0
Sao Tome and Principe,STP,2015,620
Senegal,SEN,2015,51000
Serbia,SRB,2015,40
Singapore,SGP,2015,240
Slovenia,SVN,2015,2029.9999999999998
Somalia,SOM,2015,76750
South Africa,ZAF,2015,199000
South America,,2015,2953000
South Korea,KOR,2015,10000
Spain,ESP,2015,3740
Sudan,SDN,2015,264000
Suriname,SUR,2015,11650
Sweden,SWE,2015,13050
Switzerland,CHE,2015,1340
Tanzania,TZA,2015,474000
Thailand,THA,2015,37600
Togo,TGO,2015,4960
Tokelau,TKL,2015,0
Tunisia,TUN,2015,570
Turkey,TUR,2015,1170
Uganda,UGA,2015,51090
Ukraine,UKR,2015,100
Uzbekistan,UZB,2015,14150
Vatican,VAT,2015,0
Venezuela,VEN,2015,108290
Vietnam,VNM,2015,1590
World,OWID_WRL,2015,10150000
Zambia,ZMB,2015,189710
Zimbabwe,ZWE,2015,46070
